x,y,c
1.20386,-0.0921361,9
0.995353,-0.337026,12
0.95205,-0.402912,12
0.966774,-0.361398,12
1.04258,-0.280943,12
0.886098,-0.264032,12
0.832414,-0.200744,12
0.871758,-0.215982,12
0.742003,-0.308891,5
0.603078,-0.112747,4
0.508352,-0.157974,2
0.700645,-0.445926,5
0.8209,-0.469551,5
0.85432,-0.48439,5
0.612605,-0.287903,4
0.739409,-0.350465,5
0.84325,-0.501661,5
0.840829,-0.497213,5
0.855923,-0.483112,5
0.848239,-0.345341,12
0.869688,-0.472884,5
0.844357,-0.48206,5
0.852697,-0.385221,5
0.838731,-0.512406,5
0.822453,-0.489986,5
0.807916,-0.471382,5
0.824454,-0.514547,5
0.682714,-0.355683,5
0.824747,-0.500623,5
0.560973,-0.201006,4
0.639397,-0.34866,5
0.732267,-0.471641,5
0.847029,-0.489429,5
0.702626,-0.393043,5
0.764384,-0.562972,5
0.64581,-0.365407,5
0.861045,-0.470019,5
0.389058,-0.0821588,0
0.794791,-0.560452,5
0.807707,-0.528943,5
0.777794,-0.562547,5
0.779261,-0.564053,5
0.795333,-0.539277,5
0.802004,-0.481799,5
0.696879,-0.39869,5
0.821014,-0.529654,5
0.705488,-0.401357,5
0.778083,-0.452885,5
0.777423,-0.48553,5
0.644707,-0.283244,4
0.540494,-0.230423,2
0.654371,-0.381657,5
0.732759,-0.380674,5
0.906348,-0.394943,12
0.853864,-0.48512,5
0.759774,-0.402355,5
0.815587,-0.435587,5
0.676401,-0.26332,4
0.576268,-0.144476,4
0.801443,-0.399246,5
0.624474,-0.217752,4
0.647002,-0.23025,4
0.717392,-0.260972,4
0.71087,-0.268267,4
0.947505,-0.123212,12
0.99566,-0.326396,12
0.928755,-0.377808,12
0.883698,-0.138984,12
0.949805,-0.27552,12
0.994788,-0.224908,12
0.946378,-0.219371,12
0.896587,-0.393751,12
0.768722,-0.23975,4
0.882611,-0.280787,12
1.04369,-0.28879,12
0.916947,-0.209253,12
0.545162,-0.126113,4
0.615119,-0.265543,4
0.803836,-0.458293,5
0.748643,-0.367117,5
0.763716,-0.377728,5
0.738464,-0.398137,5
0.778497,-0.384598,5
0.848235,-0.497102,5
0.869,-0.472517,5
0.828944,-0.428512,5
0.710911,-0.391617,5
0.712314,-0.386837,5
0.762507,-0.444284,5
0.679916,-0.345639,5
0.772124,-0.509357,5
0.736098,-0.382742,5
0.819095,-0.484603,5
0.773986,-0.567528,5
0.812709,-0.515583,5
0.801791,-0.540779,5
0.768971,-0.476018,5
0.726306,-0.449056,5
0.688827,-0.41136,5
0.659587,-0.420048,5
0.623323,-0.351712,5
0.660299,-0.38362,5
0.898264,-0.42234,12
0.674874,-0.305355,5
0.820271,-0.458485,5
0.721417,-0.360034,5
0.703956,-0.41527,5
0.895806,-0.447897,5
0.877393,-0.444824,5
0.888637,-0.431861,5
0.918109,-0.396248,12
0.892004,-0.434506,5
0.747394,-0.0934706,4
0.909543,-0.329611,12
0.917159,-0.417437,12
0.830881,-0.299868,12
0.882088,-0.102953,12
0.917331,-0.093209,12
0.89131,-0.272999,12
0.878868,-0.329673,12
0.88232,-0.409816,5
0.962697,0.0377322,11
0.913508,0.0740373,11
0.731012,0.201126,11
0.758316,0.204462,11
0.778958,0.37355,3
0.771216,-0.292244,5
0.563695,-0.160051,4
0.750725,-0.331677,5
0.874158,-0.40426,5
0.846524,-0.406122,5
0.896005,-0.437063,5
0.851713,-0.33447,12
0.866904,-0.350621,12
0.830193,-0.307091,12
0.706814,-0.278531,5
0.706266,-0.275614,4
0.508777,-0.261769,2
0.644012,-0.400784,5
0.747989,-0.452134,5
0.618328,-0.318774,5
0.621542,-0.33789,5
0.763181,-0.527075,5
0.826496,-0.503254,5
0.753493,-0.499105,5
0.474482,-0.206961,2
0.680971,-0.38789,5
0.669614,-0.426314,5
0.748433,-0.51646,5
0.796891,-0.525265,5
0.831431,-0.462561,5
0.802404,-0.534082,5
0.801421,-0.529344,5
0.715773,-0.496099,5
0.64157,-0.394943,5
0.721834,-0.420949,5
0.613377,-0.448031,5
0.6779,-0.480191,5
0.551074,-0.376457,2
0.569131,-0.354877,2
0.575686,-0.400643,5
0.330097,-0.124399,0
0.448526,-0.272288,2
0.44204,-0.206723,2
0.56594,-0.363793,2
0.658932,-0.421766,5
0.675042,-0.453487,5
0.674149,-0.430334,5
0.680208,-0.481083,5
0.661366,-0.408932,5
0.662255,-0.432919,5
0.676941,-0.459433,5
0.644124,-0.391009,5
0.658852,-0.378141,5
0.739515,-0.477692,5
0.696337,-0.407838,5
0.668459,-0.427372,5
0.568728,-0.332289,2
0.750874,-0.425249,5
0.709938,-0.475214,5
0.711441,-0.46054,5
0.721585,-0.425013,5
0.699234,-0.49391,5
0.592849,-0.375893,5
0.691267,-0.463485,5
0.571053,-0.349243,2
0.667443,-0.43712,5
0.567275,-0.355709,2
0.547885,-0.281411,2
0.681761,-0.418634,5
0.656876,-0.388423,5
0.689255,-0.437655,5
0.727602,-0.507842,5
0.708669,-0.428431,5
0.596389,-0.360765,5
0.757234,-0.445186,5
0.63516,-0.384925,5
0.846581,-0.310832,12
0.665616,-0.23309,4
0.818157,-0.142376,12
0.745411,0.0916077,11
0.818004,-0.0222419,11
0.732575,0.120738,11
0.819958,0.0217636,11
0.872621,0.200655,11
0.749971,-0.162881,4
0.828312,0.0258102,11
0.83522,0.0799493,11
0.943253,0.0338677,11
0.886786,-0.115909,12
0.796017,-0.387251,5
0.708149,-0.298084,5
0.760773,-0.352948,5
0.717369,-0.32869,5
0.450713,-0.133519,0
0.72395,-0.409785,5
0.736073,-0.353024,5
0.806894,-0.443699,5
0.636749,-0.387814,5
0.602696,-0.277356,4
0.561501,-0.298516,2
0.603081,-0.334442,5
0.727438,-0.353939,5
0.786489,-0.388121,5
0.894351,-0.437592,5
0.746598,-0.461875,5
0.703617,-0.429032,5
1.01229,-0.25158,12
1.07353,-0.246914,12
1.011,-0.318673,12
0.797372,-0.152594,4
0.985577,-0.351417,12
0.878335,-0.298938,12
0.538818,0.248907,6
0.74546,-0.169372,4
0.99107,-0.339435,12
0.848302,-0.210437,12
0.911404,-0.0164132,11
0.964885,-0.349295,12
0.956149,-0.324744,12
1.0729,-0.256278,12
1.05638,-0.25797,12
1.04374,-0.283341,12
1.01653,-0.295408,12
1.08084,0.0219311,9
1.22261,-0.0765903,9
1.24568,-0.0539478,9
1.1996,-0.119488,9
1.28607,-0.0274896,9
1.32865,0.0415988,9
1.21816,-0.0856521,9
1.30731,0.0261025,9
1.16312,-0.162054,12
1.1547,-0.171105,12
1.08444,-0.237367,12
1.10072,-0.216837,12
1.05095,-0.268965,12
1.22905,-0.0713295,9
1.15714,-0.165433,12
1.04125,0.143803,10
1.0372,0.00708753,9
1.17638,-0.124489,9
1.21658,-0.0791852,9
1.0071,0.115301,11
1.08441,0.0495365,9
1.23966,-0.0708628,9
1.26374,-0.0547321,9
1.06827,-0.241902,12
1.06611,-0.268836,12
0.930604,-0.185328,12
1.03683,-0.282653,12
1.03661,-0.298694,12
1.00799,-0.328306,12
0.981528,-0.342088,12
0.929564,-0.292026,12
0.855032,-0.315655,12
0.926898,-0.399778,12
0.818783,-0.357488,5
0.852609,-0.507194,5
0.321671,0.0846254,1
0.843929,-0.450471,5
0.84127,-0.507549,5
0.794046,-0.377997,5
0.855577,-0.462091,5
1.01122,-0.335023,12
0.958053,-0.38559,12
0.853902,-0.400841,5
0.892906,-0.3831,12
0.93972,-0.395003,12
0.98059,-0.353264,12
0.88007,-0.282308,12
0.878871,-0.294862,12
1.01578,-0.305038,12
0.725477,-0.0385868,11
0.835833,-0.0943474,11
1.13762,-0.20048,12
1.11888,-0.213289,12
1.03079,-0.299937,12
1.07669,0.0303939,9
1.02556,-0.0536129,12
1.10554,-0.255625,12
1.30622,-0.0757693,9
0.887871,-0.459008,5
0.961138,-0.364299,12
0.712343,-0.148417,4
0.919288,-0.33897,12
0.948075,-0.37045,12
0.95733,-0.378734,12
0.943436,-0.385235,12
0.913425,-0.431977,12
0.794509,-0.310937,5
0.816562,-0.363913,5
0.874535,-0.466258,5
0.897017,-0.437336,5
0.873454,-0.455786,5
0.835272,-0.440475,5
0.889034,-0.449368,5
0.817428,-0.42745,5
0.873784,-0.45718,5
0.875582,-0.378668,12
0.924137,-0.403117,12
0.878343,-0.439536,5
0.726104,-0.309117,5
1.00581,-0.342098,12
0.959553,-0.385013,12
0.964867,-0.373675,12
0.921996,-0.413186,12
0.745041,-0.081748,4
1.00918,-0.304636,12
1.0523,-0.266732,12
1.00056,-0.31972,12
1.26325,0.0232118,9
1.3269,0.00766689,9
1.30701,-0.0275413,9
1.10171,-0.251827,12
1.40702,0.0935802,9
1.42397,0.145431,9
1.20265,-0.100807,9
1.08239,-0.233204,12
0.907985,-0.397792,12
0.832943,-0.373168,5
0.841077,-0.453077,5
0.863645,-0.479654,5
0.820014,-0.532635,5
0.78208,-0.43484,5
0.844979,-0.498804,5
0.757353,-0.382949,5
0.793299,-0.431284,5
0.622146,-0.260029,4
0.838781,-0.469959,5
0.354316,0.14544,8
1.40371,0.101943,9
1.29424,0.374348,10
1.35746,0.377202,10
1.469,0.211424,9
1.3646,0.0688616,9
1.4707,0.217235,9
1.32284,-0.00621885,9
1.37215,0.0706285,9
1.42097,0.115267,9
1.24412,-0.0585539,9
1.16857,-0.142271,9
1.09081,-0.21623,12
1.14565,-0.180962,12
1.15472,-0.176195,12
0.995573,-0.353481,12
0.940956,-0.401479,12
0.962998,-0.364734,12
0.961648,-0.36117,12
0.964298,-0.378045,12
0.964853,-0.36929,12
0.966633,-0.366602,12
0.955453,-0.384943,12
0.935305,-0.407786,12
0.952535,-0.390732,12
0.978845,-0.355066,12
0.886174,-0.259106,12
0.583517,0.310677,6
0.734239,0.00904575,11
0.807495,-0.261366,12
0.589581,-0.096328,4
0.673526,-0.402607,5
0.972094,-0.365303,12
0.670649,0.0427888,11
0.608817,0.215654,6
0.937294,-0.353101,12
1.05135,-0.29103,12
1.2037,-0.113295,9
0.996137,-0.32803,12
0.966332,-0.368159,12
0.991411,-0.332223,12
1.01756,-0.312855,12
1.16874,-0.161768,9
1.06072,-0.267358,12
1.21878,-0.137034,9
0.980133,-0.352326,12
0.985483,-0.347337,12
0.771835,-0.333255,5
0.868779,-0.188829,12
1.06811,-0.237986,12
1.0288,-0.308152,12
1.00655,-0.317932,12
0.991825,-0.344377,12
1.12556,-0.193764,12
0.986727,-0.292038,12
0.944665,-0.191533,12
0.747846,0.117559,11
1.02857,-0.29848,12
0.951543,-0.28955,12
1.00558,-0.308832,12
0.578218,0.140017,6
0.620024,0.0198088,7
0.535237,0.65667,3
0.693656,-0.023363,4
1.01663,-0.29967,12
0.815112,0.184455,11
0.691464,0.191803,6
0.399999,-0.0767227,0
0.626793,0.509604,3
0.657963,0.613489,3
0.817484,-0.0630979,11
0.894184,-0.104577,12
0.815528,-0.067113,11
0.760133,0.146872,11
0.893419,0.155013,11
0.817267,0.039377,11
0.808339,-0.0498053,11
0.838617,-0.0221797,11
0.865804,0.139248,11
0.758678,-0.103301,4
0.618026,0.0308824,7
0.656601,-0.0692906,4
0.773941,0.0143602,11
0.743487,-0.0215554,11
0.701722,0.0999998,11
0.785262,0.0580839,11
0.828165,-0.117849,12
0.809065,-0.115454,4
0.790678,0.0136838,11
0.835078,-0.149299,12
0.813688,-0.109134,4
0.706732,-0.0909815,4
0.705233,-0.0771736,4
0.603119,0.0140076,7
0.692039,-0.096322,4
0.637051,-0.0786573,4
0.731632,-0.166042,4
0.63948,-0.0777204,4
0.801546,-0.296591,5
0.801796,-0.267588,12
0.730859,-0.220185,4
0.515041,0.186349,6
0.527416,0.0923599,7
0.932882,-0.379151,12
0.970298,-0.36347,12
1.02196,-0.26877,12
0.879168,-0.386293,12
0.958678,-0.36022,12
0.986793,-0.346687,12
1.07521,-0.257878,12
0.90092,-0.226812,12
0.839649,-0.325658,12
0.866523,-0.3866,5
0.936191,-0.39381,12
0.909892,-0.436437,12
0.810754,-0.328927,5
0.808825,-0.345609,5
0.742539,-0.225577,4
0.754213,-0.133936,4
0.696965,-0.168479,4
0.860061,-0.0453902,11
0.76832,-0.275418,5
0.824268,-0.346765,5
0.283907,0.209977,8
0.691096,-0.275865,4
0.789933,-0.265019,12
0.762211,-0.162524,4
0.714646,-0.201355,4
0.314869,0.115468,1
0.539087,-0.149971,4
0.682044,-0.0951301,4
0.885467,-0.318626,12
0.572928,-0.1114,4
1.05919,-0.260183,12
0.786041,-0.176161,4
0.883795,-0.202745,12
0.938349,0.135795,11
0.89136,0.292168,10
0.789749,-0.0840201,11
0.698859,-0.179933,4
0.86756,0.263925,10
0.811312,-0.186893,12
0.858842,-0.29588,12
0.841719,-0.29438,12
0.82815,-0.292788,12
0.824896,-0.294043,12
0.483785,0.116763,7
0.578899,-0.0680057,4
0.453511,0.0704421,7
0.808818,-0.267247,12
0.541034,0.1147,7
0.743152,-0.165042,4
0.738676,-0.169653,4
0.493888,0.104669,7
0.549191,0.0723239,7
0.57705,0.190243,6
0.744668,-0.160995,4
0.751956,-0.132466,4
0.770414,-0.178524,4
0.754273,-0.207564,4
0.746531,-0.157255,4
0.734633,-0.174893,4
0.73964,-0.168671,4
0.730988,-0.185911,4
0.749288,-0.146668,4
0.595667,0.016728,7
0.313223,-0.062042,0
0.619209,0.0498607,7
0.348419,0.293846,8
0.765008,-0.134183,4
0.742759,-0.159519,4
0.746906,-0.113231,4
0.691565,-0.0412465,4
0.7862,-0.181281,4
0.7172,-0.207132,4
0.645572,-0.00161055,4
0.638166,-0.119227,4
0.781614,-0.329206,5
0.610438,-0.136727,4
0.659951,-0.200753,4
0.702094,-0.261376,4
0.716837,-0.299698,5
0.455144,0.0658841,7
0.708022,-0.150263,4
0.448893,0.0054083,7
0.500527,-0.0642389,7
0.595867,-0.1342,4
0.415086,-0.0212746,7
0.78799,-0.24754,4
0.680118,-0.240569,4
0.771784,-0.292221,5
0.339173,0.127464,8
0.764515,0.286971,6
0.914473,0.230156,10
0.480177,0.384138,6
0.621044,0.119954,6
0.273277,0.225461,8
0.555704,0.356306,6
0.569109,0.44358,6
0.597629,0.118573,6
0.760821,-0.142724,4
0.604852,-0.0930784,4
0.693863,0.0329987,11
0.572642,-0.0564849,4
0.565462,-0.188025,4
0.852112,-0.384987,5
0.806196,-0.232705,12
0.772713,-0.330828,5
0.637989,-0.0808272,4
0.758337,-0.277857,5
0.809246,-0.293112,12
0.751253,-0.182374,4
0.705599,-0.225977,4
0.701454,-0.229864,4
0.737451,-0.219654,4
0.633651,-0.1871,4
0.627879,-0.140999,4
0.653523,-0.219733,4
0.805675,-0.200221,12
0.751524,-0.169078,4
0.730456,-0.16697,4
0.834628,-0.303633,12
0.845406,-0.284942,12
0.830583,-0.273861,12
0.810124,-0.278468,12
0.750396,-0.107469,4
0.713805,-0.116817,4
0.757092,-0.0943453,4
0.748448,-0.155042,4
0.740447,-0.218222,4
0.753759,-0.14799,4
0.756245,-0.14664,4
0.78083,-0.225993,4
0.68319,-0.11417,4
0.784874,-0.258601,4
0.723278,-0.243264,4
0.631106,-0.14514,4
0.626688,-0.186651,4
0.713841,-0.262812,4
0.713164,-0.296879,5
0.711221,-0.288159,5
0.781934,0.00820684,11
0.536634,0.0411241,7
0.653945,0.00307012,4
0.64143,-0.0346222,4
0.728932,-0.218367,4
0.760688,0.0602128,11
0.724591,0.331409,6
0.806928,0.270438,11
0.570809,-0.113035,4
0.509378,0.0549876,7
0.630272,-0.199775,4
0.61216,-0.136214,4
0.413374,0.067452,7
0.687186,-0.183842,4
0.690621,-0.246044,4
0.697922,-0.236317,4
0.690819,-0.192719,4
0.633532,-0.185928,4
0.602025,-0.0513541,4
0.734186,-0.142809,4
0.742996,-0.13035,4
0.740057,-0.113048,4
0.576235,-0.124301,4
0.737854,-0.163861,4
0.717797,-0.179495,4
0.684187,-0.177965,4
0.603613,0.0126898,7
0.664701,-0.0174047,4
0.697514,-0.0651976,4
0.731843,-0.176683,4
0.52074,-0.143991,4
0.459539,0.142354,7
0.7084,-0.148488,4
0.488177,0.0368876,7
0.665914,0.259825,6
0.701244,-0.0553288,4
0.365536,0.235297,8
0.842874,-0.181812,12
0.711226,-0.140032,4
0.677141,-0.118279,4
0.628783,-0.0792805,4
0.713285,-0.191412,4
0.750791,-0.137245,4
0.718273,-0.179627,4
0.737255,-0.154955,4
0.620794,-0.0719259,4
0.538658,-0.0171957,7
0.653809,-0.123642,4
0.709579,-0.119465,4
0.731284,-0.179379,4
0.436284,-0.0315663,7
0.547515,-0.103838,4
0.593589,0.0284255,7
0.713185,-0.210693,4
0.72504,0.240375,6
0.655568,-0.166811,4
0.641248,-0.18264,4
0.737521,-0.102255,4
0.745888,-0.117737,4
0.724511,-0.054025,4
0.78783,-0.0712386,11
0.744488,-0.143797,4
0.679052,-0.122407,4
0.750325,-0.130951,4
0.70239,-0.200725,4
0.715894,-0.212192,4
0.738867,-0.165151,4
0.732728,-0.146464,4
0.701729,-0.222773,4
0.422299,0.0295094,7
0.691608,-0.179703,4
0.570181,0.0056407,7
0.423465,0.223018,8
0.52991,-0.0261758,7
0.424594,0.0488315,7
0.679786,-0.164994,4
0.687823,-0.195681,4
0.732172,-0.154787,4
0.716772,-0.153394,4
0.665546,0.0212117,11
0.6192,-0.0109598,4
0.361591,0.26684,8
0.693631,-0.20532,4
0.609555,-0.158536,4
0.632531,-0.165187,4
0.622275,-0.176959,4
0.713992,-0.0966685,4
0.549839,0.176065,6
0.617198,0.106784,7
0.447825,0.362013,6
0.561326,0.219654,6
0.575094,0.16455,6
0.434168,0.0746102,7
0.484596,0.216728,6
0.564971,0.243363,6
0.583626,0.235477,6
0.580431,0.227407,6
0.559951,0.225301,6
0.413606,0.105332,7
0.5231,0.169102,6
0.538228,0.233193,6
0.467268,0.181181,6
0.618873,0.0478075,7
0.52694,0.100204,7
0.558728,0.227592,6
0.337749,0.320528,8
0.428594,0.106613,7
0.559,0.208249,6
0.673254,-0.248492,4
0.389872,0.201605,8
0.556663,0.145296,6
0.544636,0.289723,6
0.486993,0.103125,7
0.763505,0.0804989,11
0.440543,0.433741,6
0.537975,0.40471,6
0.524544,0.374673,6
0.478527,0.276402,6
0.548551,0.485882,3
0.544982,0.287808,6
0.468263,0.456115,6
0.409409,0.37541,8
0.390727,0.539789,8
0.604268,0.0852309,7
0.780169,-0.0787357,11
0.711081,-0.0082534,11
0.629626,0.130221,6
0.300704,0.229936,8
0.636387,0.00378287,4
0.691712,-0.124573,4
0.607556,0.0343367,7
0.547106,0.230993,6
0.508488,0.150961,7
0.215448,0.260225,8
0.441878,0.306166,6
0.631979,-0.0705273,4
0.399828,0.105705,7
0.437192,0.147609,7
0.399795,0.168939,8
0.78559,0.560922,3
0.679418,0.338679,6
0.786837,0.245186,11
0.738682,0.166169,11
0.756878,0.00802137,11
0.667829,0.0333399,11
0.868142,0.180491,11
0.433683,0.222105,8
0.548099,0.0611311,7
0.634094,0.0252263,7
0.476941,0.111086,7
0.599943,-0.0144389,7
0.685549,-0.117145,4
0.628331,0.0690715,7
0.622265,0.0104783,7
0.586749,0.0311163,7
0.613309,0.0534861,7
0.499934,0.154763,7
0.639607,0.0341054,11
0.686822,0.0670605,11
0.706367,0.0830453,11
0.807208,-0.0234765,11
0.729587,0.172118,11
0.823949,0.0407915,11
0.716117,0.152441,11
0.770992,0.121526,11
0.579466,0.0784387,7
0.60515,0.0513583,7
0.64079,0.114725,6
0.565746,0.115218,7
0.658726,-0.0634242,4
0.528946,0.110564,7
0.602037,0.0634269,7
0.628072,0.0712806,7
0.618926,0.825588,3
0.803272,0.738209,3
0.335477,0.269807,8
0.618333,0.154234,6
0.653178,0.0955334,11
0.600064,0.421123,6
0.696186,0.267953,6
0.650879,0.0384573,11
0.699804,0.157866,11
0.66283,0.0410239,11
0.646078,0.0777434,11
0.60072,0.08928,7
0.616901,0.0449629,7
0.437175,0.0229333,7
0.601738,0.186292,6
0.731412,-0.130946,4
0.323713,0.244718,8
0.704993,-0.134489,4
0.692935,-0.0843161,4
0.502372,0.18017,6
0.479693,0.0572551,7
0.607967,0.206171,6
0.625191,0.164191,6
0.282483,0.284202,8
0.393234,0.479113,8
0.545523,0.114591,7
0.607381,0.0968683,7
0.589124,0.0367906,7
0.590133,0.0307817,7
0.561901,0.019885,7
0.508741,0.275923,6
0.505367,0.539293,3
0.878492,-0.12207,12
0.98426,0.491412,10
0.545143,0.358765,6
0.576857,0.341362,6
0.690997,0.214605,6
0.29511,0.342601,8
0.628195,0.146665,6
0.597746,0.194933,6
0.552478,0.218737,6
0.564901,0.228469,6
0.573432,0.440987,6
0.692166,0.274651,6
0.717596,0.257214,6
0.547927,0.33108,6
0.652758,0.17758,6
0.514895,0.181721,6
0.580071,0.263402,6
0.63718,0.375592,6
0.585159,0.604972,3
0.56689,-0.027214,7
0.707017,-0.192145,4
0.909497,-0.307429,12
0.212249,0.287259,8
0.888133,0.569336,3
0.673951,0.496202,3
0.367939,0.313476,8
0.584085,0.0163738,7
0.354339,0.470497,8
0.492753,0.325452,6
0.567171,0.169034,6
0.646902,0.106373,11
0.517207,0.463128,6
1.08677,0.144699,9
1.01752,-0.0906264,12
0.495476,0.41517,6
0.168,0.238099,8
0.581191,0.371619,6
0.827751,0.306578,10
0.495552,-0.194168,2
0.740021,0.460766,3
0.305022,0.20283,8
0.270487,0.277653,8
0.855704,0.382589,10
0.471252,0.103375,7
0.419998,0.175152,7
0.369986,0.230031,8
0.506667,-0.0758427,7
0.575045,-0.211752,4
0.564363,-0.165209,4
0.582119,-0.156799,4
0.467885,0.0296504,7
0.371452,0.340988,8
0.47526,-0.0349298,7
0.621019,-0.127828,4
0.596711,-0.157717,4
0.556916,-0.138876,4
0.390588,0.324092,8
0.327753,0.0626461,1
0.699032,-0.32708,5
0.846189,-0.364483,5
0.724963,-0.191575,4
0.514316,0.230097,6
0.466435,0.503026,6
0.52271,0.0166812,7
0.54937,0.0508771,7
0.545953,-0.0218032,7
0.479033,-0.0130079,7
0.496062,0.230307,6
0.258608,-0.0393074,1
0.201309,-0.0366343,1
0.282645,0.0266677,1
0.231344,0.0456775,1
0.209962,0.0427487,1
0.271782,0.00758484,1
0.231968,-0.05194,1
0.257425,-0.0621749,0
0.223362,0.0147709,1
0.413604,-0.337839,2
0.321457,-0.130794,0
0.166764,0.0625466,1
0.28139,-0.00305871,1
0.338752,-0.166092,0
0.598553,-0.296768,2
0.238,0.0668487,1
0.232361,-0.0024349,1
0.27403,0.0337208,1
0.392653,-0.161813,0
0.374132,-0.151088,0
0.259852,-0.0390059,1
0.211215,0.0384173,1
0.284845,0.0419058,1
0.23274,0.0211459,1
0.203371,0.12309,1
0.280161,-0.0258323,1
0.337436,-0.11445,0
0.24973,0.0344561,1
0.271475,-0.0529922,0
0.310092,0.0573089,1
0.540443,-0.280989,2
0.161502,0.106502,1
0.313111,-0.08117,0
0.175122,0.0975319,1
0.195705,-0.0490676,1
0.190289,-0.00857532,1
0.208839,-0.0566089,1
0.238108,0.10347,1
0.164521,0.172447,1
0.352187,-0.0625019,0
0.286484,-0.0226805,1
0.1851,0.169828,1
0.489259,-0.404928,2
0.50353,-0.378249,2
0.509289,-0.409202,2
0.760938,-0.46786,5
0.186793,-0.0904767,0
0.177237,0.00544633,1
0.333983,-0.241604,0
0.548217,-0.420024,2
0.492152,-0.234613,2
0.437296,-0.123805,0
0.39207,-0.145317,0
0.502632,-0.308568,2
0.172491,0.109946,1
0.128396,0.132589,1
0.218497,0.139656,1
0.561699,-0.43015,5
0.679171,-0.561936,5
0.813529,-0.439225,5
0.690307,-0.555612,5
